train,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Pulau Sebang,,5:38,6:00,,,7:53,,,11:31,,,,,,18:00,,
Rembau,,5:55,6:17,,,8:10,,,11:48,,,,,,18:17,,
Sungai Gadut,,6:08,6:30,6:55,7:48,8:23,,10:10,12:01,,14:15,,16:00,16:55,18:30,19:25,20:58
Senawang,,6:13,6:35,7:00,7:54,8:28,,10:15,12:06,,14:20,,16:05,17:00,18:35,19:31,21:03
Seremban,,6:19,6:41,7:06,8:00,8:34,,10:21,12:12,,14:26,,16:11,17:06,18:41,19:37,21:09
Tiroi,,6:27,6:49,7:14,8:08,8:42,,10:29,12:20,,14:34,,16:19,17:14,18:49,19:45,21:17
Labu,,6:33,6:55,7:25,8:18,8:48,,10:35,12:26,,14:40,,16:25,17:20,18:55,19:51,21:23
Nilai,,6:43,7:05,7:30,8:28,8:58,,10:45,12:36,,14:50,,16:35,17:30,19:05,20:01,21:33
Batang Benar,,6:49,7:11,7:36,8:34,9:04,,10:51,12:42,,14:56,,16:41,17:36,19:11,20:06,21:39
Bangi,,7:02,7:24,7:54,8:58,9:23,10:22,11:22,12:55,14:09,15:09,16:08,17:11,18:14,19:24,20:34,21:52
UKM,,7:08,7:30,8:00,9:04,9:29,10:28,11:28,13:01,14:15,15:15,16:14,17:17,18:20,19:30,20:40,21:58
Kajang 2,,7:11,7:33,8:03,9:07,9:31,10:31,11:31,13:04,14:18,15:18,16:17,17:20,18:23,19:33,20:43,22:01
Kajang,,7:14,7:36,8:06,9:10,9:35,10:34,11:34,13:07,14:21,15:21,16:20,17:23,18:26,19:36,20:46,22:04
Serdang,,7:26,7:48,8:18,9:22,9:46,10:46,11:46,13:19,14:33,15:33,16:32,17:35,18:38,19:48,20:58,22:16
Bandar Tasek Selatan,,7:33,7:55,8:25,9:29,9:53,10:53,11:53,13:26,14:40,15:40,16:39,17:42,18:45,19:55,21:05,22:23
Salak Selatan,,7:39,8:01,8:31,9:35,10:00,10:59,11:59,13:32,14:46,15:46,16:45,17:48,18:51,20:01,21:11,22:29
Seputeh,,7:44,8:06,8:36,9:40,10:05,11:04,12:04,13:37,14:51,15:51,16:50,17:53,18:56,20:06,21:16,22:34
MidValley,,7:47,8:09,8:38,9:43,10:07,11:07,12:07,13:40,14:54,15:54,16:53,17:56,18:59,20:09,21:19,22:37
KL Sentral,7:30,7:54,8:16,8:49,9:50,10:24,11:14,12:14,13:47,15:04,16:01,17:00,18:06,19:10,20:16,21:26,22:52
Kuala Lumpur,7:35,8:07,8:42,8:54,10:02,10:29,11:19,12:27,13:52,15:09,16:06,17:05,18:11,19:15,20:21,21:31,22:57
Bank Negara,7:40,8:12,8:47,8:59,10:07,10:34,11:24,12:32,13:57,15:14,16:11,17:10,18:16,19:20,20:26,21:36,23:02
Putra,7:43,8:15,8:50,9:02,10:10,10:37,11:27,12:35,14:00,15:17,16:14,17:13,18:19,19:23,20:29,21:39,23:05
Sentul,7:51,8:23,8:58,9:10,10:18,10:45,11:35,12:43,14:08,15:25,16:22,17:21,18:27,19:31,20:37,21:47,23:13
Batu Kentonmen,7:55,8:27,9:02,9:14,10:22,10:49,11:39,12:47,14:12,15:29,16:26,17:25,18:31,19:35,20:41,21:51,23:17
Kampung Batu,7:57,8:29,9:04,9:16,10:24,10:51,11:41,12:49,14:14,15:31,16:28,17:27,18:33,19:37,20:43,21:53,23:19
Taman Wahyu,8:00,8:32,9:07,9:19,10:27,10:54,11:44,12:52,14:17,15:34,16:31,17:30,18:36,19:40,20:46,21:56,23:22
Batu Caves,8:04,8:36,9:11,9:23,10:31,10:58,11:48,12:56,14:21,15:38,16:35,17:34,18:40,19:44,20:50,22:00,23:26